NOM,ways_points,geometry,centroid_x,centroid_y,True color,True color 20cm,structure,texture,couleur,surface(ha),typologie,especes_cultivés,Micro_el,Macro_el,ph,Roche_mère,True_color,True_color_20cm
G1,"284649.4599999979,714725.7600000018;284649.4599999979,714723.385444548;284644.4599999979,714723.9999999991;284646.7610677045,714725.7600000018;284649.4599999979,714725.7600000018","POLYGON ((284649.4599999979 714725.7600000018, 284649.4599999979 714723.385444548, 284644.4599999979 714723.9999999991, 284646.7610677045 714725.7600000018, 284649.4599999979 714725.7600000018))",284647.53625311865,714724.6079973375,,,,,,,,,,,,,,
G2,"284649.4599999979,714725.7600000018;284646.7610677045,714725.7600000018;284649.4599999979,714727.8243116386;284649.4599999979,714725.7600000018","POLYGON ((284649.4599999979 714725.7600000018, 284646.7610677045 714725.7600000018, 284649.4599999979 714727.8243116386, 284649.4599999979 714725.7600000018))",284648.5603559001,714726.4481038806,,,,,,,,,,,,,,
G3,"284649.4599999979,714725.7600000018;284654.4599999979,714725.7600000018;284654.4599999979,714722.7708890969;284649.4599999979,714723.385444548;284649.4599999979,714725.7600000018","POLYGON ((284649.4599999979 714725.7600000018, 284654.4599999979 714725.7600000018, 284654.4599999979 714722.7708890969, 284649.4599999979 714723.385444548, 284649.4599999979 714725.7600000018))",284652.05548124306,714724.41321556,,,,,,,,,,,,,,
G4,"284654.4599999979,714730.7600000018;284654.4599999979,714725.7600000018;284649.4599999979,714725.7600000018;284649.4599999979,714727.8243116386;284653.2981918607,714730.7600000018;284654.4599999979,714730.7600000018","POLYGON ((284654.4599999979 714730.7600000018, 284654.4599999979 714725.7600000018, 284649.4599999979 714725.7600000018, 284649.4599999979 714727.8243116386, 284653.2981918607 714730.7600000018, 284654.4599999979 714730.7600000018))",284652.3150896938,714727.8173935161,,,,,,,,,,,,,,
G5,"284654.4599999979,714725.7600000018;284659.4599999979,714725.7600000018;284659.4599999979,714722.1563336458;284654.4599999979,714722.7708890969;284654.4599999979,714725.7600000018","POLYGON ((284654.4599999979 714725.7600000018, 284659.4599999979 714725.7600000018, 284659.4599999979 714722.1563336458, 284654.4599999979 714722.7708890969, 284654.4599999979 714725.7600000018))",284657.037680393,714724.1070317954,,,,,,,,,,,,,,
G6,"284654.4599999979,714725.7600000018;284654.4599999979,714730.7600000018;284659.4599999979,714730.7600000018;284659.4599999979,714725.7600000018;284654.4599999979,714725.7600000018","POLYGON ((284654.4599999979 714725.7600000018, 284654.4599999979 714730.7600000018, 284659.4599999979 714730.7600000018, 284659.4599999979 714725.7600000018, 284654.4599999979 714725.7600000018))",284656.9599999979,714728.2600000018,,,,,,,,,,,,,,
G7,"284659.4599999979,714730.7600000018;284654.4599999979,714730.7600000018;284654.4599999979,714731.6486232781;284659.4599999979,714735.4729349177;284659.4599999979,714730.7600000018","POLYGON ((284659.4599999979 714730.7600000018, 284654.4599999979 714730.7600000018, 284654.4599999979 714731.6486232781, 284659.4599999979 714735.4729349177, 284659.4599999979 714730.7600000018))",284657.52893568634,714732.3779682872,,,,,,,,,,,,,,
G8,"284659.4599999979,714725.7600000018;284664.4599999979,714725.7600000018;284664.4599999979,714721.5417781946;284659.4599999979,714722.1563336458;284659.4599999979,714725.7600000018","POLYGON ((284659.4599999979 714725.7600000018, 284664.4599999979 714725.7600000018, 284664.4599999979 714721.5417781946, 284659.4599999979 714722.1563336458, 284659.4599999979 714725.7600000018))",284662.02547390043,714723.8005042266,,,,,,,,,,,,,,
G9,"284659.4599999979,714725.7600000018;284659.4599999979,714730.7600000018;284664.4599999979,714730.7600000018;284664.4599999979,714725.7600000018;284659.4599999979,714725.7600000018","POLYGON ((284659.4599999979 714725.7600000018, 284659.4599999979 714730.7600000018, 284664.4599999979 714730.7600000018, 284664.4599999979 714725.7600000018, 284659.4599999979 714725.7600000018))",284661.9599999979,714728.2600000018,,,,,,,,,,,,,,
G10,"284664.4599999979,714735.7600000018;284664.4599999979,714730.7600000018;284659.4599999979,714730.7600000018;284659.4599999979,714735.4729349177;284659.83531601704,714735.7600000018;284664.4599999979,714735.7600000018","POLYGON ((284664.4599999979 714735.7600000018, 284664.4599999979 714730.7600000018, 284659.4599999979 714730.7600000018, 284659.4599999979 714735.4729349177, 284659.83531601704 714735.7600000018, 284664.4599999979 714735.7600000018))",284661.9651284777,714733.2548079973,,,,,,,,,,,,,,
G11,"284664.4599999979,714735.7600000018;284659.83531601704,714735.7600000018;284664.4599999979,714739.2972465572;284664.4599999979,714735.7600000018","POLYGON ((284664.4599999979 714735.7600000018, 284659.83531601704 714735.7600000018, 284664.4599999979 714739.2972465572, 284664.4599999979 714735.7600000018))",284662.9184386709,714736.939082187,,,,,,,,,,,,,,
G12,"284664.4599999979,714725.7600000018;284669.4599999979,714725.7600000018;284669.4599999979,714720.9272227435;284664.4599999979,714721.5417781946;284664.4599999979,714725.7600000018","POLYGON ((284664.4599999979 714725.7600000018, 284669.4599999979 714725.7600000018, 284669.4599999979 714720.9272227435, 284664.4599999979 714721.5417781946, 284664.4599999979 714725.7600000018))",284667.01658265124,714723.4937729177,,,,,,,,,,,,,,
G13,"284664.4599999979,714725.7600000018;284664.4599999979,714730.7600000018;284669.4599999979,714730.7600000018;284669.4599999979,714725.7600000018;284664.4599999979,714725.7600000018","POLYGON ((284664.4599999979 714725.7600000018, 284664.4599999979 714730.7600000018, 284669.4599999979 714730.7600000018, 284669.4599999979 714725.7600000018, 284664.4599999979 714725.7600000018))",284666.9599999979,714728.2600000018,,,,,,,,,,,,,,
G14,"284664.4599999979,714730.7600000018;284664.4599999979,714735.7600000018;284669.4599999979,714735.7600000018;284669.4599999979,714730.7600000018;284664.4599999979,714730.7600000018","POLYGON ((284664.4599999979 714730.7600000018, 284664.4599999979 714735.7600000018, 284669.4599999979 714735.7600000018, 284669.4599999979 714730.7600000018, 284664.4599999979 714730.7600000018))",284666.9599999979,714733.2600000018,,,,,,,,,,,,,,
G15,"284669.4599999979,714740.7600000018;284669.4599999979,714735.7600000018;284664.4599999979,714735.7600000018;284664.4599999979,714739.2972465572;284666.3724401733,714740.7600000018;284669.4599999979,714740.7600000018","POLYGON ((284669.4599999979 714740.7600000018, 284669.4599999979 714735.7600000018, 284664.4599999979 714735.7600000018, 284664.4599999979 714739.2972465572, 284666.3724401733 714740.7600000018, 284669.4599999979 714740.7600000018))",284667.07038098166,714738.1407355582,,,,,,,,,,,,,,
G16,"284669.4599999979,714740.7600000018;284666.3724401733,714740.7600000018;284669.4599999979,714743.1215581967;284669.4599999979,714740.7600000018","POLYGON ((284669.4599999979 714740.7600000018, 284666.3724401733 714740.7600000018, 284669.4599999979 714743.1215581967, 284669.4599999979 714740.7600000018))",284668.43081338966,714741.5471860667,,,,,,,,,,,,,,
G17,"284669.4599999979,714725.7600000018;284674.4599999979,714725.7600000018;284674.4599999979,714720.7600000018;284670.82051792584,714720.7600000018;284669.4599999979,714720.9272227435;284669.4599999979,714725.7600000018","POLYGON ((284669.4599999979 714725.7600000018, 284674.4599999979 714725.7600000018, 284674.4599999979 714720.7600000018, 284670.82051792584 714720.7600000018, 284669.4599999979 714720.9272227435, 284669.4599999979 714725.7600000018))",284671.96935450094,714723.2711726847,,,,,,,,,,,,,,
G18,"284669.4599999979,714725.7600000018;284669.4599999979,714730.7600000018;284674.4599999979,714730.7600000018;284674.4599999979,714725.7600000018;284669.4599999979,714725.7600000018","POLYGON ((284669.4599999979 714725.7600000018, 284669.4599999979 714730.7600000018, 284674.4599999979 714730.7600000018, 284674.4599999979 714725.7600000018, 284669.4599999979 714725.7600000018))",284671.9599999979,714728.2600000018,,,,,,,,,,,,,,
G19,"284669.4599999979,714730.7600000018;284669.4599999979,714735.7600000018;284674.4599999979,714735.7600000018;284674.4599999979,714730.7600000018;284669.4599999979,714730.7600000018","POLYGON ((284669.4599999979 714730.7600000018, 284669.4599999979 714735.7600000018, 284674.4599999979 714735.7600000018, 284674.4599999979 714730.7600000018, 284669.4599999979 714730.7600000018))",284671.9599999979,714733.2600000018,,,,,,,,,,,,,,
G20,"284669.4599999979,714735.7600000018;284669.4599999979,714740.7600000018;284674.4599999979,714740.7600000018;284674.4599999979,714735.7600000018;284669.4599999979,714735.7600000018","POLYGON ((284669.4599999979 714735.7600000018, 284669.4599999979 714740.7600000018, 284674.4599999979 714740.7600000018, 284674.4599999979 714735.7600000018, 284669.4599999979 714735.7600000018))",284671.9599999979,714738.2600000018,,,,,,,,,,,,,,
